name,city,income,credit_score,loan_amount,years_employed,points,loan_approved,age,education_level,marital_status
Allison Hill,East Jill,113810,389,39698,27,50.0,False,62,High School,Married
Brandon Hall,New Jamesside,44592,729,15446,28,55.0,False,37,High School,Married
Rhonda Smith,Lake Roberto,33278,584,11189,13,45.0,False,65,Bachelor,Married
Gabrielle Davis,West Melanieview,127196,344,48823,29,50.0,False,59,Bachelor,Single
Valerie Gray,Mariastad,66048,496,47174,4,25.0,False,35,High School,Married
Darren Roberts,Port Jesseville,62098,689,19217,29,65.0,True,57,High School,Married
Holly Wood,Lake Joseph,59256,373,40920,40,35.0,False,56,Bachelor,Married
Nicholas Martin,Nelsonside,48289,524,45866,20,25.0,False,39,Master,Single
Patty Perez,Port Leslieview,126530,367,14826,36,55.0,False,32,Bachelor,Married
Emily Rios,Wilkersonmouth,43434,446,18359,8,20.0,False,31,High School,Married
Justin Baker,Hurstfurt,118696,670,15373,8,75.0,True,28,High School,Single
Ann Williams,East Courtneychester,127080,365,26216,24,55.0,False,44,Bachelor,Divorced
Julie King,Lake Jenniferside,146939,573,43006,21,50.0,False,68,Bachelor,Single
Jeffrey Chavez,Teresaburgh,101482,819,7973,40,100.0,True,46,High School,Single
Mark Lynch,West Kathryn,41395,843,1037,38,80.0,True,62,Bachelor,Divorced
Alec Hickman,Johnbury,107397,380,6613,31,60.0,True,58,High School,Single
Vanessa Patel,East Donna,85302,469,18370,33,50.0,False,64,High School,Single
Jenny Lewis,Lake Larry,34165,682,29711,33,50.0,False,27,Master,Divorced
David Brown,New Angelashire,33905,525,1471,4,30.0,False,46,Associate,Married
Amy Jones,Port Markhaven,42280,543,19250,31,25.0,False,45,High School,Married
Carlos Walls,Sanchezfort,58657,716,13478,6,65.0,True,64,Associate,Divorced
Jeffrey Henderson,Shieldston,60495,400,4972,25,50.0,False,63,High School,Married
Rebecca Rodriguez,East Amanda,96237,443,28648,11,45.0,False,56,Bachelor,Single
David Leblanc,Mortonside,108907,400,4315,34,60.0,True,46,Associate,Divorced
Tracy House,East Richard,33478,792,15008,25,60.0,True,66,Bachelor,Married
Carmen Smith,Bakermouth,103563,592,28722,35,65.0,True,25,High School,Single
Katelyn Lee,North Beth,56062,362,21552,3,30.0,False,42,Bachelor,Single
John Calhoun,North Susan,123850,382,13178,4,45.0,False,58,Master,Married
Megan Young,New Johnton,115181,383,28474,37,55.0,False,63,Bachelor,Divorced
Emily Green,Johnfurt,121924,434,45019,19,50.0,False,63,Bachelor,Single
Timothy Walls,South Christineshire,101426,402,5801,34,60.0,True,37,Bachelor,Married
Derek Mahoney,East Mikeburgh,84987,748,36600,19,75.0,True,69,Bachelor,Divorced
Victoria Valdez,Lake Lisaport,58893,406,9800,16,45.0,False,47,Associate,Widowed
Brian Tran,Juanborough,88878,651,14342,40,65.0,True,30,Bachelor,Single
Kathy King,North Cynthiaview,107236,345,1232,21,60.0,True,25,Master,Single
Mandy Green,Arnoldchester,66463,309,8331,4,35.0,False,32,Bachelor,Married
Melissa Hernandez,Port Mikeside,136093,451,29166,8,50.0,False,26,Associate,Married
Jacob Fitzpatrick,West Jasonbury,143940,405,24178,35,55.0,False,51,Bachelor,Widowed
